Year,Age
2017.0,30.05105791865452
2017.0,30.05105791865452
2017.0,17.0
2017.0,58.0
2016.0,36.0
2016.0,37.0
2016.0,29.97863225941944
2015.0,29.906206600184362
2015.0,21.0
2015.0,27.0
2015.0,12.0
2015.0,36.0
2015.0,29.906206600184362
2014.0,29.83378094094931
2014.0,40.0
2014.0,29.83378094094931
2013.0,55.0
2013.0,50.0
2012.0,42.0
2012.0,22.0
2012.0,32.0
2012.0,44.0
2012.0,6.0
2012.0,30.0
2012.0,33.0
2012.0,21.0
2011.0,27.0
2011.0,43.0
2011.0,21.0
2010.0,29.544078304009048
2010.0,55.0
2009.0,39.0
2009.0,29.471652644773968
2009.0,29.471652644773968
2009.0,29.471652644773968
2009.0,29.471652644773968
2009.0,33.0
2009.0,29.471652644773968
2008.0,29.399226985538917
2008.0,16.0
2008.0,21.0
2008.0,42.0
2007.0,29.326801326303837
2007.0,36.0
2007.0,7.0
2006.0,22.0
2006.0,21.0
2006.0,49.0
2005.0,29.181950007833706
2005.0,12.0
2004.0,44.0
2004.0,61.0
2003.0,50.0
2002.0,15.0
2002.0,28.964673030128495
2001.0,17.0
2001.0,28.892247370893443
2000.0,12.0
2000.0,48.0
2000.0,26.0
1999.0,16.0
1999.0,28.747396052423284
1999.0,28.747396052423284
1999.0,28.747396052423284
1998.0,18.0
1998.0,47.0
1997.0,32.0
1997.0,17.0
1997.0,28.602544733953152
1996.0,13.0
1995.0,39.0
1995.0,23.0
1995.0,18.0
1995.0,44.0
1995.0,28.45769341548302
1994.0,34.0
1994.0,22.0
1994.0,15.0
1993.0,34.0
1993.0,51.0
1993.0,55.0
1991.0,28.16799077854276
1989.0,12.0
1989.0,21.0
1989.0,28.023139460072628
1988.0,30.0
1987.0,27.0
1987.0,16.0
1986.0,27.805862482367417
1986.0,27.805862482367417
1985.0,21.0
1984.0,27.661011163897285
1984.0,27.661011163897285
1983.0,16.0
1983.0,15.0
1983.0,27.588585504662234
1983.0,27.588585504662234
1982.0,19.0
1982.0,20.0
1981.0,27.443734186192074
1981.0,32.0
1981.0,27.443734186192074
1980.0,27.371308526957023
1978.0,39.0
1974.0,10.0
1973.0,26.86432891231155
1972.0,33.0
1969.0,18.0
1969.0,26.574626275371287
1968.0,26.502200616136207
1968.0,12.0
1968.0,20.0
1967.0,26.429774956901156
1966.0,13.0
1966.0,26.357349297666076
1965.0,26.284923638430996
1965.0,49.0
1965.0,26.284923638430996
1964.0,19.0
1964.0,26.212497979195945
1964.0,26.212497979195945
1964.0,21.0
1964.0,20.0
1963.0,24.0
1962.0,44.0
1961.0,21.0
1961.0,40.0
1960.0,25.922795342255682
1960.0,25.922795342255682
1959.0,21.0
1959.0,25.850369683020602
1959.0,14.0
1959.0,17.0
1958.0,36.0
1958.0,25.777944023785523
1958.0,25.777944023785523
1958.0,25.777944023785523
1957.0,25.70551836455047
1957.0,30.0
1956.0,25.63309270531539
1955.0,25.56066704608034
1955.0,25.0
1954.0,25.48824138684526
1954.0,25.48824138684526
1953.0,25.0
1951.0,25.270964409140078
1949.0,18.0
1949.0,25.126113090669918
1947.0,12.0
