Year,fatal_count,total,fatal_rate
1967.0,10.0,48,0.20833333333333334
1968.0,5.0,47,0.10638297872340426
1969.0,0.0,30,0.0
1970.0,8.0,42,0.19047619047619047
1971.0,8.0,30,0.26666666666666666
1972.0,8.0,36,0.2222222222222222
1973.0,9.0,27,0.3333333333333333
1974.0,9.0,39,0.23076923076923078
1975.0,6.0,49,0.12244897959183673
1976.0,6.0,39,0.15384615384615385
1977.0,5.0,27,0.18518518518518517
1978.0,2.0,26,0.07692307692307693
1979.0,8.0,25,0.32
1980.0,6.0,36,0.16666666666666666
1981.0,5.0,49,0.10204081632653061
1982.0,6.0,42,0.14285714285714285
1983.0,4.0,50,0.08
1984.0,5.0,41,0.12195121951219512
1985.0,3.0,37,0.08108108108108109
1986.0,3.0,39,0.07692307692307693
1987.0,6.0,35,0.17142857142857143
1988.0,8.0,56,0.14285714285714285
1989.0,6.0,53,0.11320754716981132
1990.0,3.0,39,0.07692307692307693
1991.0,6.0,39,0.15384615384615385
1992.0,9.0,56,0.16071428571428573
1993.0,16.0,56,0.2857142857142857
1994.0,11.0,57,0.19298245614035087
1995.0,12.0,76,0.15789473684210525
1996.0,11.0,61,0.18032786885245902
1997.0,8.0,57,0.14035087719298245
1998.0,9.0,65,0.13846153846153847
1999.0,5.0,66,0.07575757575757576
2000.0,18.0,97,0.18556701030927836
2001.0,6.0,92,0.06521739130434782
2002.0,10.0,88,0.11363636363636363
2003.0,8.0,92,0.08695652173913043
2004.0,14.0,92,0.15217391304347827
2005.0,7.0,103,0.06796116504854369
2006.0,10.0,103,0.0970873786407767
2007.0,5.0,113,0.04424778761061947
2008.0,10.0,122,0.08196721311475409
2009.0,13.0,120,0.10833333333333334
2010.0,8.0,101,0.07920792079207921
2011.0,14.0,128,0.109375
2012.0,9.0,117,0.07692307692307693
2013.0,13.0,122,0.10655737704918032
2014.0,7.0,126,0.05555555555555555
2015.0,9.0,143,0.06293706293706294
2016.0,5.0,131,0.03816793893129771
2017.0,8.0,139,0.05755395683453238
2018.0,6.0,124,0.04838709677419355
2019.0,7.0,113,0.061946902654867256
2020.0,14.0,101,0.13861386138613863
2021.0,12.0,109,0.11009174311926606
2022.0,11.0,98,0.11224489795918367
2023.0,6.0,65,0.09230769230769231
