Year,Age,Time,Type,Country,Activity,Fatal (Y/N)
1955.0,24.0,13.0,1.0,177,125,0.0
1955.0,19.0,12.0,0.0,177,313,0.0
1954.0,35.0,13.0,0.0,177,341,0.0
1954.0,20.0,13.0,0.0,64,341,1.0
1950.0,24.0,13.0,0.0,9,313,0.0
1950.0,24.0,13.0,0.0,140,97,1.0
1948.0,41.0,13.0,0.0,11,316,0.0
1947.0,24.0,13.0,0.0,11,32,0.0
1946.0,24.0,13.0,0.0,161,341,0.0
1945.0,13.0,13.0,0.0,70,341,0.0
1942.0,24.0,13.0,1.0,150,20,1.0
1942.0,32.0,13.0,1.0,8,354,1.0
1942.0,24.0,13.0,0.0,184,222,0.0
1941.0,24.0,13.0,1.0,146,58,1.0
1941.0,24.0,13.0,0.0,177,125,0.0
1940.0,17.0,10.0,0.0,145,341,1.0
1939.0,24.0,13.0,1.0,11,125,0.0
1937.0,24.0,13.0,0.0,9,341,0.0
1936.0,24.0,13.0,0.0,22,125,0.0
1936.0,24.0,13.0,0.0,177,341,1.0
1935.0,14.0,13.0,0.0,120,125,1.0
1934.0,24.0,13.0,0.0,16,125,0.0
1934.0,34.0,9.0,0.0,9,47,0.0
1932.0,23.0,13.0,0.0,145,76,0.0
1931.0,24.0,13.0,0.0,177,85,0.0
1929.0,24.0,13.0,1.0,169,125,1.0
1927.0,24.0,13.0,1.0,125,282,1.0
1927.0,24.0,13.0,0.0,9,236,0.0
1926.0,24.0,13.0,0.0,121,181,1.0
1917.0,24.0,13.0,0.0,82,97,0.0
1916.0,24.0,13.0,0.0,177,125,0.0
1916.0,24.0,13.0,1.0,11,267,1.0
1916.0,24.0,13.0,0.0,177,341,1.0
1913.0,24.0,13.0,0.0,177,125,0.0
1913.0,24.0,13.0,0.0,130,341,1.0
1912.0,24.0,13.0,0.0,104,341,0.0
1910.0,24.0,13.0,0.0,9,331,0.0
1907.0,24.0,13.0,0.0,177,378,0.0
1905.0,24.0,13.0,1.0,177,159,0.0
1904.0,30.0,13.0,0.0,106,341,1.0
1903.0,24.0,13.0,0.0,9,329,1.0
1902.0,24.0,13.0,0.0,74,125,0.0
1901.0,10.0,13.0,0.0,9,35,0.0
1900.0,24.0,13.0,0.0,35,341,1.0
1899.0,24.0,13.0,0.0,9,120,0.0
1898.0,15.0,13.0,0.0,177,125,0.0
1896.0,24.0,13.0,0.0,177,341,1.0
1895.0,24.0,13.0,0.0,183,97,1.0
1893.0,24.0,16.0,0.0,36,164,1.0
1893.0,24.0,13.0,0.0,106,35,1.0
1892.0,24.0,13.0,0.0,117,399,1.0
1888.0,24.0,13.0,0.0,145,87,1.0
1883.0,24.0,13.0,0.0,177,193,1.0
1882.0,24.0,13.0,0.0,106,35,0.0
1878.0,24.0,13.0,0.0,9,35,0.0
1878.0,24.0,13.0,0.0,184,181,1.0
1878.0,24.0,13.0,1.0,145,397,1.0
1876.0,24.0,13.0,0.0,9,35,1.0
1876.0,24.0,13.0,0.0,9,236,0.0
1874.0,24.0,13.0,0.0,184,274,0.0
1874.0,24.0,13.0,1.0,22,125,0.0
1870.0,39.0,13.0,0.0,66,35,0.0
1865.0,17.0,9.0,0.0,177,341,0.0
1856.0,22.0,13.0,0.0,184,341,1.0
1856.0,24.0,13.0,0.0,45,341,1.0
1852.0,24.0,13.0,0.0,145,341,1.0
1849.0,24.0,13.0,0.0,177,35,1.0
1846.0,24.0,13.0,1.0,95,397,1.0
1830.0,52.0,13.0,0.0,177,125,1.0
2023.0,11.0,15.0,0.0,9,309,0.0
2023.0,24.0,13.0,0.0,177,313,0.0
2023.0,60.0,12.0,0.0,177,341,0.0
2022.0,15.0,13.0,0.0,9,341,0.0
2022.0,24.0,13.0,0.0,177,181,0.0
2022.0,24.0,12.0,0.0,9,341,0.0
2022.0,24.0,16.0,0.0,177,324,0.0
2022.0,24.0,13.0,0.0,9,122,0.0
2021.0,41.0,6.0,0.0,177,336,0.0
2021.0,54.0,13.0,0.0,177,53,0.0
2021.0,24.0,17.0,0.0,9,125,0.0
2019.0,10.0,17.0,2.0,177,54,0.0
2018.0,8.0,13.0,0.0,11,341,0.0
2018.0,26.0,12.0,0.0,177,54,1.0
2018.0,12.0,18.0,0.0,11,341,0.0
2018.0,34.0,13.0,0.0,9,125,0.0
2017.0,24.0,11.0,0.0,9,336,0.0
2017.0,24.0,15.0,0.0,9,336,0.0
2017.0,17.0,16.0,0.0,9,336,1.0
2017.0,58.0,10.0,0.0,177,336,0.0
2016.0,36.0,11.0,0.0,177,336,0.0
2016.0,37.0,14.0,0.0,177,336,0.0
2016.0,24.0,13.0,1.0,145,125,0.0
2015.0,24.0,13.0,0.0,177,336,0.0
2015.0,21.0,14.0,0.0,177,336,0.0
2015.0,27.0,15.0,0.0,177,313,0.0
2015.0,12.0,18.0,0.0,177,242,0.0
2015.0,36.0,13.0,1.0,145,184,0.0
2015.0,24.0,13.0,0.0,9,336,0.0
2014.0,24.0,6.0,0.0,9,336,0.0
2014.0,40.0,13.0,0.0,177,125,0.0
2014.0,24.0,18.0,0.0,9,341,0.0
2013.0,55.0,10.0,0.0,9,97,0.0
2013.0,50.0,10.0,0.0,177,336,0.0
2012.0,42.0,18.0,0.0,177,392,0.0
2012.0,22.0,13.0,0.0,177,336,0.0
2012.0,32.0,7.0,0.0,177,336,0.0
2012.0,44.0,16.0,0.0,177,336,0.0
2012.0,6.0,19.0,0.0,177,341,0.0
2012.0,30.0,14.0,1.0,177,185,0.0
2012.0,33.0,9.0,0.0,9,279,1.0
2012.0,21.0,14.0,0.0,177,336,0.0
2011.0,21.0,13.0,0.0,104,313,0.0
2010.0,24.0,12.0,1.0,177,185,0.0
2010.0,55.0,13.0,0.0,177,336,0.0
2009.0,39.0,12.0,0.0,175,125,0.0
2009.0,24.0,13.0,0.0,144,125,0.0
2009.0,24.0,18.0,0.0,177,336,0.0
2009.0,24.0,20.0,0.0,177,341,0.0
2009.0,24.0,7.0,0.0,177,313,0.0
2009.0,33.0,19.0,0.0,9,336,0.0
2009.0,24.0,7.0,0.0,9,336,0.0
2008.0,24.0,13.0,0.0,106,125,0.0
2008.0,16.0,13.0,1.0,175,265,0.0
2008.0,21.0,13.0,0.0,95,336,1.0
2008.0,42.0,13.0,0.0,145,333,0.0
2007.0,24.0,8.0,0.0,177,336,0.0
2007.0,36.0,15.0,0.0,177,309,0.0
2007.0,7.0,13.0,0.0,177,242,0.0
2006.0,22.0,13.0,0.0,177,336,0.0
2006.0,21.0,13.0,0.0,177,341,0.0
2006.0,49.0,13.0,0.0,145,97,0.0
2005.0,24.0,13.0,0.0,9,313,0.0
2005.0,12.0,13.0,0.0,17,336,0.0
2004.0,44.0,11.0,0.0,177,336,0.0
2004.0,61.0,8.0,0.0,177,341,0.0
2003.0,50.0,8.0,0.0,177,342,1.0
2002.0,15.0,17.0,0.0,177,341,0.0
2002.0,24.0,13.0,0.0,17,341,1.0
2001.0,17.0,16.0,0.0,177,336,0.0
2000.0,12.0,13.0,0.0,9,120,0.0
2000.0,48.0,11.0,0.0,145,138,0.0
2000.0,26.0,14.0,0.0,9,341,0.0
1999.0,16.0,18.0,0.0,177,337,0.0
1999.0,24.0,13.0,0.0,17,277,0.0
1999.0,24.0,13.0,0.0,145,227,0.0
1999.0,24.0,13.0,0.0,130,313,1.0
1998.0,18.0,17.0,0.0,145,336,0.0
1998.0,47.0,13.0,0.0,145,378,0.0
1997.0,32.0,13.0,0.0,177,341,0.0
1997.0,17.0,13.0,0.0,42,125,0.0
1997.0,24.0,13.0,0.0,17,336,0.0
1996.0,13.0,13.0,0.0,9,341,0.0
1995.0,39.0,11.0,0.0,177,336,0.0
1995.0,23.0,13.0,0.0,177,341,0.0
1995.0,18.0,13.0,0.0,177,324,0.0
1995.0,44.0,13.0,0.0,64,97,1.0
1995.0,24.0,13.0,0.0,9,97,0.0
1994.0,34.0,9.0,0.0,177,337,0.0
1994.0,22.0,8.0,0.0,177,336,0.0
1994.0,15.0,16.0,0.0,145,336,0.0
1993.0,34.0,14.0,1.0,177,185,0.0
1993.0,51.0,17.0,0.0,11,313,0.0
1993.0,55.0,14.0,0.0,177,138,0.0
1991.0,24.0,9.0,0.0,177,97,0.0
1989.0,12.0,13.0,0.0,177,336,0.0
1989.0,21.0,13.0,0.0,177,341,0.0
1989.0,24.0,10.0,0.0,177,336,0.0
1988.0,30.0,13.0,0.0,177,336,0.0
1987.0,27.0,9.0,0.0,177,336,0.0
1987.0,16.0,14.0,0.0,177,378,0.0
1986.0,24.0,13.0,0.0,9,279,0.0
1984.0,24.0,13.0,0.0,145,313,0.0
1984.0,24.0,13.0,1.0,145,265,0.0
1983.0,16.0,13.0,0.0,177,336,0.0
1983.0,15.0,16.0,0.0,11,313,1.0
1982.0,19.0,14.0,0.0,177,341,0.0
